Machine number;Part number;Part name
62914;4212080809;DELTA PT Schraube 30x12
62905;4011958809;PT Schraube K60x24
62903;6001709811;Metrische Schraube M5x28/15-CH-8.8-A2K
62912;4212234809;DELTA  PT Schraube 35x10-DS
62914;6327521801;ALtracs Plus Schraube AP 30x8/7
62904;6000987817;Metrische Schraube M6x12-8.8
62925;4014376809;PT Schraube K35x14
62904;6500048609;Spiralform Schraube SF M6x16-Z
62916;5001013600;Blechschraube ST3,5x9,5-C
62904;6397415809;ALtracs Plus Schraube AP 50x14
62913;4212313809;DELTA PT Schraube 55x16-R
62916;4212191801;DELTA  PT Schraube 40x25
62912;4230756809;DELTA PT Schraube 35x12
62905;4211258809;DELTA PT Schraube 80x22
62913;4210490809;DELTA PT Schraube 50x16
62905;6424104601;SHEETtracs Schraube 80x20
62903;6397695809;ALtracs Plus Schraube AP 50x16/15
62905;6000754809;Metrische Schraube M10x17,5-CH-10.9
62916;4212755809;DELTA PT Schraube 40x20
62914;6397824809;ALtracs Plus Schraube AP 30x8/7
62905;6307197809;ALtracs Plus Schraube AP 60x17,7/14
62904;4210909809;DELTA PT Schraube 50x20
62914;6307180809;ALtracs Plus Schraube AP 30x12/9
62912;6327499809;ALtracs Plus Schraube AP 35x8
62914;6397486806;ALtracs Plus Schraube AP 30x8
62901;4412103809;PT Typ DG Schraube 40x18-Z
62915;4210964807;DELTA PT Schraube 40x16-R
62918;4211932809;DELTA PT Schraube 50x16
62919;4230427809;DELTA PT Schraube 60x48-Z
62914;4015148809;PT Schraube K40x10
62909;6397453809;ALtracs Plus Schraube AP 40x12/10
62916;4212523809;DELTA PT Schraube 40x8
62918;4014282801;PT Schraube K50x22
62914;4012498801;PT Schraube K40x30
62925;4221158809;DELTA  PT Schraube 30x16-R
62916;6317377809;ALtracs Plus Schraube AP 40x10
62913;6327448809;ALtracs Plus Schraube AP 50x15/12
62912;4221133809;DELTA PT Schraube 35x14
62918;6414131609;SHEETtracs Schraube 50x12
62924;4200510809;DELTA  PT Schraube H40x12-R
62904;4221164809;DELTA  PT Schraube 50x18
62916;4230077809;DELTA PT Schraube 40x16
62913;6424094609;SHEETtracs Schraube 50x10
62913;6397198809;ALtracs Plus Schraube AP 60x17/14
62909;6327522809;ALtracs Plus Schraube AP 40x12/10
62914;4221259809;DELTA  PT Schraube 40x35
62905;6317363809;ALtracs Plus Schraube AP 60x16/14
62924;4012233809;PT Schraube KL40x19
62915;4211457809;DELTA PT Schraube  40x12
62919;4211882809;DELTA  PT Schraube 60x24/18-R
62905;6414139601;SHEETtracs Schraube 60x14
62915;4014251809;PT Schraube K40x16
62900;6424006601;SHEETtracs Schraube 60x13
62905;6001678809;Metrische Schraube M6x16-10.9
62904;4220166801;DELTA  PT Schraube 50x18
62900;6001732811;Metrische Schraube M6x37/16,5-8.8
62904;6424146609;SHEETtracs Schraube 50x14
62903;6328863809;ALtracs Plus Schraube AP 50x14/12
62912;4212615809;DELTA PT Schraube 30x8
62905;4211846809;DELTA PT Schraube 60x20
62912;6327602809;ALtracs Plus Schraube AP 30x6
62913;6327607809;ALtracs Plus Schraube AP 60x12
62905;4201016807;DELTA PT Schraube 60x30,1
62912;4211735809;DELTA  PT Schraube 30x18,3-R
62915;4200580809;DELTA PT Schraube 50x14
62916;5000988607;Blechschraube ST4,2x13-R
62905;6307062809;ALtracs Plus Schraube AP100x25,5
62919;6397193809;ALtracs Plus Schraube AP 60x45/18
62925;6317076809;ALtracs Plus Schraube AP 30x9,5/7
62900;6001202409;Metrische Schraube M6x13-4.8
62919;6397194801;ALtracs Plus Schraube AP 60x23/18
62923;6009160819;Metrische Schraube M4x6-CH-08.8
62915;4211681809;DELTA   PT Schraube 50x17-R
62907;6002142814;Metrische Schraube M6x18-8.8 EC1
62916;6002020819;Metrische Schraube M6x12-8.8
62918;4212677801;DELTA PT Schraube 50x30
62912;4221300809;DELTA PT Schraube 30x12
62901;4211841809;DELTA  PT Schraube  60x20
